id,category,description,img_path,url,picarats,first_hint,second_hint,third_hint,special_hint,solution,answer_img
009,Multiple Choice,"The owner of a four-star restaurant assigns a young waiter the task of stacking glasses in a decorative way.
 Eager to please, the young waiter immediately draws five separate designs and shows them to the owner.
 The owner takes one glance at the designs and, with a look of irritation, turns to the boy and cries, ""This design is preposterous! What were you thinking?""

Which of the five designs is the owner talking about?
",layton-data/images/Stacked_Glasses.jpg,https://layton.fandom.com/wiki/Puzzle:Stacked_Glasses,10.0,"The owner wasn't angry because the design in question was hard to assemble.
 He was upset because one design is physically impossible to replicate in real life.

","A and C could probably be pulled off with steady hands and a lot of patience.

That leaves B, D and E.

","One design, while perfectly natural when drawn in 2-D, stacks the glasses in a way that is impossible to create in reality.

On paper, each cup is represented by single bent line, but real glasses have a rim on the top and walls of a set thickness.

",,"Exactly right!

The restaurant owner was talking about sketch D.
 If you look closely, you can see that the first and second row of glasses couldn't possibly be arranged in the manner depicted.


The simple 2-D sketch didn't take into account the rim of the glass.

",
07,Touch,"Thre are four dolls atop a music box.
 Each doll is facing in a different direction.


Touching the buttons on the Touch Screen will turn two of the dolls 90 degrees.
 Rotate the dolls so that they all face forward.


However, you cannot press the same button twice in a row.

",layton-data/images/Unusual_Music_Box.jpg,https://layton.fandom.com/wiki/Puzzle:Unusual_Music_Box,20.0,"Start off by pressing the yellow button.
 This will move the doll on the left side and the one nearest you.

You should be able to complete this puzzle by pressing the buttons a total of six times.

If you get lost, there's no harm in starting over from the beginning.

","Press the red button, followed by the yellow button again.

You're steadily getting there.

","Press the red button again.

All of the dolls should be facing right.

Just two more steps.
 Make sure you think them through!
","You are just about there.

Press the blue button, followed by the red button.

How does it look?
","Excellent!

Let the dancing commence!
",
095,Arrange,"The bridge across the river to Torrido has been destroyed in a sandstorm, leaving the inhabitants stranded! Can you help them create a makeshift bridge out of scrap materials?

Move and rotate the various pieces of scrap and get the makeshift bridge completed as quickly as possible.


Be aware that pieces of the old bridge are blocking the river, so you won't be able to dump the scrap material in some places.

",layton-data/images/Troubled_Waters_2.jpg,https://layton.fandom.com/wiki/Puzzle:Troubled_Waters_2,40.0,"Start by slotting pieces into the bottom of the frame.
 Both the green pipe piece and the brown crate piece seem to fit perfectly into the awkwardly shaped space in the bottom-left corner.

Pick one and see how it goes.

","Rotate the brown logs horizontally and slot them into the bottom right of the frame.

","If you placed the pipe in the bottom-left corner as a result of Hint 1, you made a mistake.
 It's actually the crates that should go down there.

The yellow piece slots in above the crates, then the ancient-looking stone sculpture goes next to the yellow piece.

","The green pipe goes next to the stone sculpture, and the speckled stone should be slotted in above the logs in the bottom right.

If you've placed all the pieces in the correct places so far, you should have a space into which the T brick can fit perfectly.

","Scrap-tacular!

That should provide the locals with a way to cross the river while the bridge is being repaired.

",/Users/raphael/layton-eval/layton-data/answer_images/Troubled_Waters_2.jpg
021,Draw Line,"Dr.
 Schrader needs to drink 1/5 of this bottle of medicine per day over a period of five days.
 Unfortunately, the bottle isn't marked, so there's no way of telling the dosage from it.


Now, it's time to take the second dose.
 The medicine in the bottle has been reduced as shown in the diagram.
 Where should he stop drinking today? Draw a line on the bottle to mark the stopping point.

",layton-data/images/Medicine_Time.jpg,https://layton.fandom.com/wiki/Puzzle:Medicine_Time,25.0,"It might be easiest to divide the liquid into five doses by looking at the bottle from the bottom.
 If each square portion is one dose, then on the first day you would drink one square, and on the next day, you'd need to drink one more.

","No matter how you tilt the bottle, there's no good way to get an even ""square's worth"" of medicine.
 So, how could you get that amount by dividing things up another way? For example, you could try putting two squares side by side, making a rectangle, and then drawing a line down the middle from corner to corner.
 The resulting triangle would equal the amount in one of the original squares.

","Try finding the potential rectangles talked about in Hint Two.
 You can create two horizontal rectangles using the center square and the square to its left or right.

","You've got to draw a line through one of two rectangles talked about in Hint Three.
 Try to figure out which direction to draw the line in.

Think about the angle of this line.

","That's right!

You can turn the bottle left or right and it will still work.
 Looking at the diagram, you can see that a diagonal line like the one shown divides the long rectangle into two.
 Since the rectangle makes up 2/5 of the medicine, halving it creates just the right amount!
",
k,,"<p><span typeof=""mw:File""><a class=""mw-file-description image"" href=""https://static.
wikia.
nocookie.
net/layton/images/e/ee/LW-k-puzzle.
jpg/revision/latest?cb=20170705180601""><img class=""mw-file-element"" data-image-key=""LW-k-puzzle.
jpg"" data-image-name=""LW-k-puzzle.
jpg"" data-relevant=""1"" decoding=""async"" height=""456"" loading=""lazy"" src=""https://static.
wikia.
nocookie.
net/layton/images/e/ee/LW-k-puzzle.
jpg/revision/latest/scale-to-width-down/350?cb=20170705180601"" width=""350""/></a></span>
</p>",layton-data/images/A_Puzzle_of_Straight_and_Curved_Lines.jpg,https://layton.fandom.com/wiki/Puzzle:A_Puzzle_of_Straight_and_Curved_Lines,60.0,,,,,,
110,Strategy,"The aim is to remove all the silver marbles from the board except for one.


You can jump a marble horizontally or vertically over an adjecent marble and into an empty space to remove the jumped-over marble from the board.


Also, you can move or jump over any marble except those marked with an X.

",layton-data/images/Jumpin%27_Marbles.jpg,https://layton.fandom.com/wiki/Puzzle:Jumpin%27_Marbles,55.0,"The key is to work the outer marbles to the center of the board.
 Start jumping a marble from the bottom into the center space.

Start by moving a marble from the second-bottom row into the centre space.

","After following Hint 1, move the marble at the top of the second column from the right downward and then to the left.
 Then jump the marble in the very center down over the marble you just moved.
 Next, the marble at the bottom of the second column from the left should be moved to the right.

Next, the marble at the bottom of the second column from the left should be moved to the right.

","Next, find the marble marked with an X on the top left, and jump the marble below it downward.

Jump both marbles in the second row from the bottom upward, then move the marble in the center to the right.
 If you jump the rightmost marble in the second row from the top downward, you're nearly there!
Jump the rightmost marble in the second row from the top downwards and you're nearly there!
","Move the marble that's farthest to the right onto the center.
 Jump over that center marble with the one on the left.
 Now take the marble nearest the top and move it down.
 There are just two marbles left to remove!
There are just two marbles left to remove!
","Remarka-marble!

Did you find it difficult? The trick to this puzzle is to work toward the center of the board.

",
058,Sliding,"Can you get the red ball out of the maze?

Slide obstructing blocks out of the way to clear a path for the ball.


This problem can be solved in as few as 12 moves.

",layton-data/images/Get_the_Ball_Out!_1.jpg,https://layton.fandom.com/wiki/Puzzle:Get_the_Ball_Out!_1,30.0,"If all you want to do is get the ball to the goal, just slide things around and see what happens.
 However, if you're aiming to solve this puzzle in as few moves as possible, you'll have to think ahead.
 Remember that moving one block immobilizes others.

","Only blue blocks can move at the beginning.
 Slide the one on the right up, and then arrange the two purple blocks underneath it in a horizontal line.


Next, move the lower yellow block over to the right.
 This will give you some space to work with on the left.

","If you've followed the previous hint, you should start to see the answer to the puzzle.


In order to move the yellow block that's directly beneath the ball, you're going to have to move that green block on the left.
 To do that, go ahead and move the bothersome blue block out of the way.


Got it now?
",,,
W11,Circle Answer,"Three kings have become entangled in a territory dispute over the land shown below.
 They have decided to divide the land by coloring it red, blue, and yellow, after their national colors.
 The rule for dividing land is that each territory must not border another territory of the same color.
 If A is red and B is blue, what color is C? Circle that color's king to enter your answer.

",layton-data/images/Territory_War.jpg,https://layton.fandom.com/wiki/Puzzle:Territory_War,0.0,"Try actually marking the territories using the Memo function to make sure you don't make adjacent ones the same color.

",,,,,
038,Logical,"A romantic Romeo has come to take his sweetheart to a delightful dinner.


To add a little excitement, instead of telling him her room number directly, his playful  partner took photographs of every junction along the route to the room and sent them to him!

The photos aren't in any particular order, but by studying them carefully, you should be able to work out which of rooms A to E is the correct one.

",,https://layton.fandom.com/wiki/Puzzle:The_Perplexed_Partner,40.0,"There's a unique object in one of the photos that's also shown on the plan.
 Identify that, and you'll know exactly where the photo in question was taken.

","Let's consider room A.

Just before you reach room A, the corridor turns to the right.
 But there's no corresponding photograph, so room A can't be the correct room.

","Continuing on from hint two.
.
.

In the same way, you would have to take a right turn just before reaching room C as well, wheter you approach it from the bottom or from the left.

So room C can't be the one either.

","Continuing on from hint three.
.
.

That leaves rooms B, D and E.

Looking at the paths to rooms B and E, both have a left turn just before the door.
 So you'd have no more left turns from the rest of the way.
 That's only possible with two T-junctions for either room, but you only have one T-junction photo.

So that just leaves one room.

","You did it!

Lucky you found the room on time.

Otherwise, the couple's dinner date would have been ruined!
",
058,Write Answer,"A carpenter is sorting a stack of 10 large blocks.
 He bought a mixture of heavy and light blocks but mixed them up at the checkout, and now he can't tell which are which.


What is the minimum number of times he'd have to individually lift blocks in order to separate all the light ones from the heavy ones?
",layton-data/images/Sorting_Blocks.jpg,https://layton.fandom.com/wiki/Puzzle:Sorting_Blocks,30.0,"This puzzle doesn't require any tricky calculations, but that's not to say there isn't a trick to it.

Consider which of the conditions in the puzzle are concrete and which are vague.

","From the puzzle description, you know for sure there are ten blocks, some of which are heavy, some light.

If that's the case, what's the maximum number of light blocks there could be, and what's the minimum number?
Thinking about the maximum and minimum should lead you to the solution.

","If we assume there's only one, then in the worst-case scenario, you would have to lift nine blocks before you could work out which was the light one.

But what if there were nine light blocks?
","If you were to lift nine blocks and find them all the same weight, you wouldn't know if they were the lighter or the heavier blocks.
 So how many blocks would you have to lift to find out if those first nine were light or heavy?
So how many blocks would he have to lift in total to find out if those first nine were light or heavy?
","That's right!

Whether there are nine light blocks or just one, he still needs to lift all 10 blocks.

",/Users/raphael/layton-eval/layton-data/answer_images/Sorting_Blocks.jpg
105,Input,"A girl received a large bunch of flowers from an admirer.
 She felt that she had too many, so she gave them away to people she met on her way home.
 Each time she started by giving just one flower, and then she decided to give half of the remaining bunch.


After meeting five people, she had only one flower left.


How many flowers were in the whole bunch?
",layton-data/images/Bouquet_Giveaway.jpg,https://layton.fandom.com/wiki/Puzzle:Bouquet_Giveaway,30.0,"In the end she only has one flower, so when she met the fifth person, she must have been holding three flowers.

Keep working backward this way, doubling and then adding one.

","When she met the fourth person, she still had seven flowers.

","As she ran into the third person, there were 15 flowers left in the bunch.

","Continuing backward one meeting at a time, you can work out that the girl hat 31 flowers just before she bumped into the second person.

Therefore, the number of flowers she started with must be twice 31 plus one!
","Correct!

The bunch had 63 flowers!
",
070,Circle Answer,"This little purple ant wants to cross a sea of pencils to join its red friend.
 It always walks on top of the pencils and can only go along each pencil once.
 It's too small to climb up from one pencil to another.


As the situation is now, the ant will not be able to get from its starting point to its goal at the red arrow.


However, by moving just one colored pencil, you can help it reach the goal.
 Which colored pencil should you move? Circle your answer.

",layton-data/images/A_Perilous_Adventure.jpg,https://layton.fandom.com/wiki/Puzzle:A_Perilous_Adventure,30.0,"Don't just think about which colored pencil you could move.
 Also consider where you could move it to.

","You can't move any of the plain pencils that make up the sea of green, but you are allowed to move any of the colored pencils.

Look very carefully, and consider your options.

","You can pick any colored pencil at all and move it wherever you like.
 No one can raise any objections, because the puzzle doesn't specify any colored pencils you can't move or any places you can't put them.

","If you can move whichever colored pencil you like, then you should be able to move the one with the ant on top straight to the bottom-right corner.
 The ant can then just saunter along to the goal without any hassle.

Which colored pencil should you move if you want to carry the ant along with it?
","You're sharp!

It's the pink pencil the ant is standing on.
 If you move it to the bottom-right corner, the ant can walk straight to the goal and be reunited with its friend.
 So much for that sea of pencils!
",/Users/raphael/layton-eval/layton-data/answer_images/A_Perilous_Adventure.jpg
084,Pictorial,"The sequel to the bestselling novel 'The Shape of Love' has hit the shelves.
 When the book's front cover is lined up in a certain way, it represents the title of the book.
 Which of these five designs is the front cover?
",,https://layton.fandom.com/wiki/Puzzle:The_Shape_of_Love,30.0,"If the book is not placed in a certain way, the cover does not convey the contents.
 It's important to place it so that the front cover is displayed correctly.

","It's hard to see the meaning portrayed by the cover with just one copy of the book.
 Try imagining lots of books lined up together
","A certain pattern becomes apparent when the books are lined up correctly, but you need four copies for this to work.
 Which way should they be lined up?
","Continuing on from hint three.
.
.

When you line four books up horizontally and vertically, it makes the shape of one heart.

","You did it!

Lining up four books at the corners forms a heart pattern.
 Now that's the shape of love.

",
59,Arrange Parts,"There are three large platforms leading across the river.
 Each platform is being weighed down by large pieces of stone.


Moving a stone block on to a platform will add additional weight and cause it to lower.
 Likewise, removing a stone block will cause the platform to rise.


Use all the stone blocks to lower or raise the platforms so that they are an even height.

",layton-data/images/Seal_of_Leviathan.jpg,https://layton.fandom.com/wiki/Puzzle:Seal_of_Leviathan,30.0,"Begin by trying out all of the blocks and gauging their weight.

Every platform must have at least one block.

","The platform in the middle should contain the most blocks.
 Three, to be exact.

","The right platform should only contain one block; therefore, the left platform should contain two.

","The right platform should only have the smallest block, and the platform on the left should have the largest block and the medium-sized block.

Which blocks should be placed on the middle platform?
","Success!

That's one seal cleared!
Now the real challenge begins.
.
.

",/Users/raphael/layton-eval/layton-data/answer_images/Seal_of_Leviathan.jpg
040,Pictorial,"Some ruins on an icy monstain.
.
.

A mysterious code is carved on the door, and the ruins are sealed in ice.
 If you crack the code and say the word, the ice will melt and the door will open.
 What could the word be?
",,https://layton.fandom.com/wiki/Puzzle:Crack_the_Cold_Code,40.0,"Try to figure out the which letters are hiding there.

","The hint is half.

","Try splitting the code vertically.

","Mirror the letters.
 Can you see the code word that will break the seal?
","You did it!

The code, ""ICE"", was concealed as mirrored letters.
 Now it has been uttered, the seal of ice has melted.
 Time to venture into the frozen ruins.

",
013,Select,"You've decided to sew your friend a garish flower from a number of red, blue, yellow and purple petals.
 You want it to be a little different, so you've decided that no two petals of the same colour should touch at any point.
 That's your only rule.


Touch a petal to choose its colour and create a lovely floral gift for your friend!
",layton-data/images/Pretty_Paper_Petals.jpg,https://layton.fandom.com/wiki/Puzzle:Pretty_Paper_Petals,40.0,"You'll find this puzzle easiest to solve if you start by choosing the colours of the petals on the edge of the flower.

","Have a look at the petal that's just tot he right of the purple one at the bottom.
 It should be immediately apparent that colour this petal needs to be.

","The petal described in Hint 2 needs to be red.

Once you've coloured that petal, work your way towards the centre of the flower, starting with the petal immediately to the left.

If you're ever unsure about a petal's colour, simply leave it until three of the adjacent petals are coloured.
 That way you'll know exactly what colour it has to be.

","Including the petals that were already coloured at the start of the puzzle, your flower should be comprised of seven red petals, eight blue petals, five yellow petals and seven purple petals.
 Good luck!
","Nicely sewn!

No real flower is quite so colourful, it has to be said.

",
090,Slide,"Oh no! A cable section in this circuit has come loose, and now the Ferris wheel's controls don't work! You have to repair the yellow cable quickly!

Fix the circuit by moving the long yellow section down into the gap at the bottom of the grid.

",layton-data/images/Loose_Connection.jpg,https://layton.fandom.com/wiki/Puzzle:Loose_Connection,70.0,"You can solve this puzzle in 18 moves.

First, slide the yellow section to the top right, and then slide blocks that are shaped like the letter ""L"" into the resulting gap.

The next piece to move is the clock.

","Continuing from Hint 1, make sure the clock is against the left edge, then slide the smaller L block up next to it.

Looks a bit tidier now, doesn't it? The next few moves are tricky, though.

","You're almost there!
","Continuing from Hint 3:

1.
 Move the small L shaped block down one row.


2.
 Move the bottom L shaped block one column left.


3.
 Move the T shaped block into the small gap created by the last move.


4.
 Move the yellow piece all the way to the right.

Now if you move the dark blue zig-zag piece out of the way, you can slot the yellow piece into place.

","Well done!

If you solved the puzzle in 18 moves, give yourself a round of applause!

Now the Ferris wheel should be back under control!
",
067,Write Answer,"Three boys are talking about how many sweets they each have.


A: B has the most!
B: If C gave me one sweet, I'd have twice as many as A does.

C: It'd be better if B gave me two sweets.
 Then we'd all have the same amount!

How many sweets are there in total?
",layton-data/images/How_Many_Sweets%3F.jpg,https://layton.fandom.com/wiki/Puzzle:How_Many_Sweets%3F,40.0,"If B gave C two sweets, everyone would have the same number.

This must mean that the difference between A and B is two sweets, and the difference between B and C is twice that, making four.

","You know from Hint 1 that the difference between A and B is two sweets.
 You also know that if B got one sweet from C, he would have twice as many sweets as A.

Put these two facts together and you should be able to work out how many sweets A has.

","You can work out from Hint 2 that A has three sweets.

That makes it easy to work out how many B has, since you know he has two more!
",,"That's right! There are nine sweets in total.


The difference between the number of sweets A and B have is two.
 If B had one more sweet, he would have twice as many as A.
 Therefore, A + 3 = 2A, which means A has three sweets.
 B must then have five, as he has one less than twice what A has.
 If C had two more sweets he would have the same as A, so he must have one.

",
092,Maze,"You need to wash your face, but all 13 water valves in the sewer piping are shut tight.
 You have to open the valves to get the water flowing to your sink.


So here's your challenge.
 Direct the water all the way to your sink by opening as few valves as possible.

",layton-data/images/Wash_Up.jpg,https://layton.fandom.com/wiki/Puzzle:Wash_Up,30.0,"It goes without saying that if you open every valve in sight, the water will make it to your faucet.
 To keep things simple, though, let's start near the source.
 It's safe to say that you'll have to open one of the three valves directly surrounding the water source.

Keep the number of valves you open in addition to this one as low as possible, and you'll have your answer.

","There are three more valves positioned near the faucet.
 Work backward from each of these and see where they go.

Do this right, and you'll eliminate quite a few possible valves.

","You really only need to open two valves.

Start from the valves near the water source and trace a route.
 If you don't find yourself at the faucet after opening a second valve, you made a wrong turn somewhere.
 This theory also works in reverse.

Keep performing test runs like this and you'll find the solution.

",,"Good job!

Now go wash up!
",
031,Logical,"Here we have five playing cards.
 A certain number of them are missing a section at the top-right which is the same shape as the corner of a playing card.
 It's possible to arrange them without fully overlapping them so that none of the missing areas are visible.
 Arranged like that, how many cards with missing pieces could there be? What is the maximum number of cards that could have a missing piece?
",,https://layton.fandom.com/wiki/Puzzle:Play_Your_Cards_Right,45.0,"Try to figure out a way of placing the cards so that the missing areas can't be seen.
 The missing sections are the same shape as the corners of the cards.

","If you line up the corner of another card over the missing area, it will look like the bottom card is complete without you needing to cover the entire card.

","If you rotate the cards as you place them so that the corners line up, you can use four of them to create a circle.

","Continuing on from hint three.
.
.
 
If you have four or more cards, all of them can have a missing section and can be placed so this is not visible.

","You did it!

It's possible for all five cards to have missing sections and be placed so that those sections are not visible.
 You just need to line up the corners of the cards with the missing sections.
 After placing four cards in a circle, you place the final card with the missing piece lined up at one of the corners.

",
57,Arrange Parts,"There appears to be an intricate keyhole in the middle of the massive door.


An inscription on the door reads:

""The 'key' to proceeding is in the key.
""
If you recall, Maya tried unlocking the door with the key, but it would not turn.


Strange, indeed.

Try using the key from different angles.

",layton-data/images/Objectionable_Lock.jpg,https://layton.fandom.com/wiki/Puzzle:Objectionable_Lock,50.0,"Think outside the box.

Start with inserting the key from both the left and right sides.

","Remember to leave no stone unturned.

Hmm.
 There seems to be strange patterns etched on to the key itself.

Perhaps there is some connection to the inscription on the door?
","Perhaps the key requires some sort of alteration to work?
Keep at it.
 The key's true form will soon be revealed and the solution will be well within your grasp!
","First, try inserting the key using both sides.

Next, rotate the key and try unlocking the door with the top of the key.

Lastly, pay close attention to Phoenix when he points out something odd about the key.

","Correct!

The key fits perfectly into the hole, once it's broken into smaller pieces.


As the massive door opens, you can feel the presence of another puzzle.
.
.

",
035,Other,"A sealed door in the heart of the ruins, waiting silently to open itself to intrepid explorers.
 Can you get the door to open?
",,https://layton.fandom.com/wiki/Puzzle:The_Sealed_Door,30.0,"The method for opening the door is written somewhere.

","""Keep pressing on and open the door.
"" That is the method for opening it.

","Keep pressing on the door.

","It takes a little time for the door to open.
 Keep on pressing continuously until it does.

","You did it!

The sealed door has opened! It has quietly relinquished its role of protecting the treasure.

",
